"타임스탬프","1. 강의시작과 종료시간을 잘 맞추어서 진행하고 있습니까? ","2. 결강이 있었다면 보충은 잘 이루어지고 있습니까?","3. 시연회 진행 시, 검사와 피드백을 잘 해주시고 있습니까? ","4. 강의시간에 강의나 해당 업무와 관련없는 이야기를 많이 하는 편입니까? ","5. 과제 검사 및 체크는 잘 이루어지고 있습니까? ","6. 과제풀이는 빠짐없이 이루어지고 있습니까? ","7. 과제의 내용이 학습에 도움이 되고 있습니까? ","8. 강의와 관련된 질문 시, 질문에 답을 잘 해주고 계십니까? ","9. 강의 이해가 잘 되도록 설명을 해주고 계십니까? ","10. 수업 진행 속도의 적절성을 평가해 주십시요. ","11. 강의 준비는 잘 이루어지고 있습니까? ","12. 상담진행이나 잘 이루어지고 있습니까? ","13. 강의의 만족도를 전체적으로 평가해주세요. ","14. 운영부에 요청한 학원 시설이나 교육장비관련 요청은 신속히 처리되었나요? ","15.운영부에 요청한 업무를 친절하게 처리해주셨나요? ","16. 담당 선생님께 전달하고 싶은 이야기가 있나요? ","17. 원장 선생님께 전달하고 싶은 이야기가 있나요? ","18. 기수 내 공부 분위기를 흐리거나, 불화유발 및 쥬신 교칙위반 행위를 일으키는 학생이 있나요? ","19. 쥬신에 건의사항이 있나요? ","20. 위 문항들을 제외한 또 다른 문항이 필요하다고 생각되면 작성해주세요. "
"2018/06/07 3:58:01 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","주석을 많이 달아주시면 복습할때  더 좋을꺼 같습니다","신경써주셔서 감사합니다","아니요","아니요","없습니다"
"2018/06/07 3:58:46 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","잘배우고 있습니다.","개인 사물함이 절실하게 필요합니다~","없습니다.","없습니다.","없습니다."
"2018/06/07 3:59:46 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","사랑합니다","개인 사물함이 절실하게 필요합니다","없습니다","없습니다","네"
"2018/06/07 4:00:23 오후 GMT+9","그렇습니다.","매우 그렇습니다.","적절히 수행되고 있습니다.","그렇지 않습니다.","그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","그렇습니다.","그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","항상 감사합니다.","원장님 ㅋㅋㅋ 개인사물함은 언제쯤 가능할까용?",".","자습실이좀 시끄러워요 ㅠㅠ,  그리고 자습실에 고장난 의자들이 좀 있네요 ㅠㅠ","."
"2018/06/07 4:01:07 오후 GMT+9","보통입니다.","매우 그렇습니다.","적절히 수행되고 있습니다.","매우 그렇지 않습니다.","보통이다","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","적당합니다","그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","최고의 강의입니다... 존경합니다... 진작 왔어야 했는데... ","매번 불편함 없게 공부할 수 있게 해주셔서 감사합니다.","잘 모르겠습니다.","자습실에 항상 자리 맡아놓는 학생들 때문에 빈 자리가 많음에도 돌아가는 경우가 종종 있습니다. 자리 맡아놓는 문화가 사라졌으면 좋겠습니다.","없습니다~"
"2018/06/07 4:01:21 오후 GMT+9","그렇습니다.","그렇습니다.","적절히 수행되고 있습니다.","그렇지 않습니다.","그렇습니다.","보통이다","그렇습니다.","그렇습니다.","그렇습니다.","적당합니다","그렇습니다.","그렇습니다.","좋습니다.","그렇습니다.","그렇습니다.","X","X","X","X","X"
"2018/06/07 4:02:02 오후 GMT+9","그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","그렇습니다.","그렇습니다.","그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","살짝 느리거나 빠르지만 따라갈만 합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","없습니다","없습니다.","없습니다.","개인 사물함이 필요해요","없습니다."
"2018/06/07 4:02:07 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","설명에대한 주석좀더많이달아주세요ㅜㅜ","없습니다","없습니다","없습니다","없습니다"
"2018/06/07 4:03:04 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","감사합니다","개인사물함 부탁드려요",".","출석카드 리더기 2층에도 설치 가능할까요?",".."
"2018/06/07 4:06:30 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","강의의 완급을 조절하기가 무척 어려우실텐데, 학생의 입장에서 생각해 주시는 것이 항상 감사합니다.
예제와 실습 위주로 확실하게 지도해주셔서 좋고, 어려운 부분은 더 자세하고 천천히 짚어주시기 때문에, 아주 이해가 잘 됩니다.","""교육자""라는 호가 아깝지 않으십니다. 항상 학생들을 생각해주시고, 물심양면으로 도와주시는 모습을 보면, 존경심이 안날 수가 없습니다.
스스로를 교육자라 칭하지만, 그렇지 못한 사람들이 많은데, 원장님을 본받아야한다고 생각 들었습니다.","아직은 없습니다.","딱히 없습니다.
항상 완벽에 가깝게 준비해 놓으시고, 부족한건 즉시즉시 보충해주셔서, 언제나 감사한 마음을 갖고 있습니다.","딱히 없습니다."
